x-axis,1,2
second,Volt,Volt
-2.500000E-03,-291.103954E-03,+155.190011E-03
-2.497500E-03,-295.102070E-03,+151.571920E-03
-2.495000E-03,-299.442523E-03,+147.686869E-03
-2.492500E-03,-303.490891E-03,+143.233351E-03
-2.490000E-03,-307.174936E-03,+138.468903E-03
-2.487500E-03,-310.701946E-03,+133.566263E-03
-2.485000E-03,-314.150440E-03,+128.823799E-03
-2.482500E-03,-318.000943E-03,+124.700057E-03
-2.480000E-03,-321.436871E-03,+121.355208E-03
-2.477500E-03,-324.728327E-03,+117.740256E-03
-2.475000E-03,-327.803082E-03,+113.638498E-03
-2.472500E-03,-330.456971E-03,+109.250932E-03
-2.470000E-03,-333.167401E-03,+104.674926E-03
-2.467500E-03,-336.110241E-03,+99.634096E-03
-2.465000E-03,-339.181848E-03,+94.144142E-03
-2.462500E-03,-341.842028E-03,+89.282338E-03
-2.460000E-03,-344.232099E-03,+85.340754E-03
-2.457500E-03,-346.455718E-03,+81.276685E-03
-2.455000E-03,-348.437505E-03,+77.746535E-03
-2.452500E-03,-350.356474E-03,+73.870909E-03
-2.450000E-03,-351.939386E-03,+69.260356E-03
-2.447500E-03,-353.569410E-03,+64.791129E-03
-2.445000E-03,-355.202579E-03,+59.668632E-03
-2.442500E-03,-357.108981E-03,+54.049919E-03
-2.440000E-03,-358.261619E-03,+48.965117E-03
-2.437500E-03,-359.571295E-03,+44.401674E-03
-2.435000E-03,-360.632852E-03,+39.539870E-03
-2.432500E-03,-361.904838E-03,+34.935593E-03
-2.430000E-03,-363.227073E-03,+30.959471E-03
-2.427500E-03,-364.360863E-03,+27.209469E-03
-2.425000E-03,-364.973306E-03,+23.060588E-03
-2.422500E-03,-365.544911E-03,+17.941231E-03
-2.420000E-03,-366.176188E-03,+12.162343E-03
-2.417500E-03,-366.942528E-03,+7.030436E-03
-2.415000E-03,-367.178071E-03,+1.785455E-03
-2.412500E-03,-367.187496E-03,-3.070070E-03
-2.410000E-03,-366.951943E-03,-7.705735E-03
-2.407500E-03,-366.427453E-03,-11.408623E-03
-2.405000E-03,-366.323803E-03,-15.884135E-03
-2.402500E-03,-366.012880E-03,-20.171196E-03
-2.400000E-03,-365.632852E-03,-25.824471E-03
-2.397500E-03,-364.728319E-03,-30.786776E-03
-2.395000E-03,-363.632218E-03,-35.802482E-03
-2.392500E-03,-362.771663E-03,-41.223347E-03
-2.390000E-03,-361.703819E-03,-46.082004E-03
-2.387500E-03,-360.921790E-03,-50.478985E-03
